,components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency,"Mass density, kg/m3_std",Relative permittivity at zero frequency_std
4,(2-hydroxyethyl)dimethylamine,OCCN(C)C,108-01-0,303.2,101.325,878.687,17.18,0.005,0.05154
49,.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,293.2,101.325,1128.8916666666667,42.575,0.015,0.03
50,.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,298.2,101.325,1124.1122500000001,41.64,0.014999999999999998,0.03
51,.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,303.2,101.325,1120.2549999999999,41.1,0.025000000000000005,0.03
53,.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,313.2,101.325,1112.6262500000003,39.92,0.026250000000000002,0.03
198,"1,2-dimethoxyethane",COCCOC,173201-80-4,288.2,101.325,872.1825000000001,7.409000000000001,0.043333333333333335,0.07408999999999999
208,"1,2-dimethoxyethane",COCCOC,173201-80-4,298.2,101.325,861.830909090909,7.0695,0.09036175,0.07069500000000001
218,"1,2-dimethoxyethane",COCCOC,173201-80-4,308.2,101.325,850.8885714285715,6.7535,0.10844900000000002,0.06753500000000001
229,"1,2-dimethoxyethane",COCCOC,173201-80-4,318.2,101.325,839.8060000000002,6.456,0.1246135,0.06456
239,"1,2-dimethoxyethane",COCCOC,173201-80-4,328.2,101.325,827.5799999999999,6.184,0.015,0.06184
364,"1,2-propanediol",C(C(C)O)O,57-55-6,303.2,101.325,1029.05025,27.87,0.11960714285714287,0.2787
365,"1,2-propanediol",C(C(C)O)O,57-55-6,308.2,101.325,1025.3489375,27.13,0.0781818181818182,0.2713
366,"1,2-propanediol",C(C(C)O)O,57-55-6,313.2,101.325,1021.3655384615384,26.43,0.12913636363636363,0.2643
368,"1,2-propanediol",C(C(C)O)O,57-55-6,318.2,101.325,1017.564888888889,25.76,0.07999999999999999,0.2576
369,"1,2-propanediol",C(C(C)O)O,57-55-6,323.2,101.325,1013.7945714285714,25.08,0.18616666666666667,0.2508
370,"1,2-propanediol",C(C(C)O)O,57-55-6,328.2,101.325,1009.7945,24.57,0.175,0.2457
481,"1,4-dioxane",O1CCOCC1,28347-88-8,298.2,101.325,1027.8008857142859,2.228,0.10876470588235297,0.005
483,"1,4-dioxane",O1CCOCC1,28347-88-8,308.2,101.325,1016.7037857142857,2.21,0.16890000000000002,0.005
485,"1,4-dioxane",O1CCOCC1,28347-88-8,318.2,101.325,1005.0178,2.187,0.0878,0.005
683,1-butanol,C(CCC)O,107569-51-7,288.2,101.325,813.3871499999999,19.01,0.06995333333333333,0.03
685,1-butanol,C(CCC)O,107569-51-7,293.2,101.325,809.5695217391306,18.270000000000003,0.03296948484848485,0.03
686,1-butanol,C(CCC)O,107569-51-7,298.0,101.325,805.5666666666666,17.8,0.08057,0.9434
687,1-butanol,C(CCC)O,107569-51-7,298.2,101.325,805.7491932773113,17.56,0.4008080599999999,0.03
689,1-butanol,C(CCC)O,107569-51-7,303.2,101.325,802.2212727272725,16.9,0.2866134704545454,0.03
690,1-butanol,C(CCC)O,107569-51-7,308.2,101.325,798.0934186046513,16.26,0.19637173437499988,0.03
691,1-butanol,C(CCC)O,107569-51-7,313.2,101.325,794.2568717948719,15.45,0.06814546451612902,0.03
824,1-pentanol,C(CCCC)O,71-41-0,288.2,101.325,818.540090909091,16.334,0.016333333333333335,0.49002
827,1-pentanol,C(CCCC)O,71-41-0,293.2,101.325,814.638064516129,15.7375,0.056478571428571434,0.472125
830,1-pentanol,C(CCCC)O,71-41-0,298.2,101.325,811.0341929824563,15.151,0.052142857142857144,0.45453
835,1-pentanol,C(CCCC)O,71-41-0,303.2,101.325,807.459375,14.572,0.13140909090909084,0.43716
840,1-pentanol,C(CCCC)O,71-41-0,308.2,101.325,803.5091666666667,13.998,0.03106666666666667,0.41994
917,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,288.2,101.325,948.982,7.6690000000000005,0.045,0.07669000000000001
927,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,298.2,101.325,939.088888888889,7.381500000000001,0.06683142857142857,0.07381499999999999
937,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,308.2,101.325,929.2333333333335,7.118,0.073184,0.07118
947,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,318.2,101.325,919.198,6.886,0.065965,0.06886
957,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,328.2,101.325,908.94,6.637,0.015,0.06637
993,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,303.2,101.325,927.7310000000001,20.59,0.03335,0.2059
994,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,308.2,101.325,923.5356666666667,20.11,0.03335,0.2011
995,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,313.2,101.325,918.79225,19.69,0.0479425,0.1969
996,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,318.2,101.325,915.09,19.27,0.03335,0.1927
997,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,323.2,101.325,910.4209999999999,18.88,0.04774250000000001,0.1888
1004,2-aminoethanol,NCCO,9007-33-4,303.2,101.325,1008.55875,31.46,0.30259090909090913,0.09438
1075,2-ethyl-1-hexanol,C(C)C(CO)CCCC,704-76-7,298.2,101.325,829.8109999999999,7.353,0.03,0.005
1077,2-ethyl-1-hexanol,C(C)C(CO)CCCC,704-76-7,308.2,101.325,822.12,6.361,0.036666666666666674,0.005
1079,2-ethyl-1-hexanol,C(C)C(CO)CCCC,704-76-7,318.2,101.325,814.51,5.522,0.05,0.005
1151,2-methyl-1-propanol,CC(CO)C,68989-27-5,288.2,101.325,805.66525,19.51,0.006666666666666667,0.03
1152,2-methyl-1-propanol,CC(CO)C,68989-27-5,293.2,101.325,801.7869230769231,18.71,0.15455555555555558,0.03
1154,2-methyl-1-propanol,CC(CO)C,68989-27-5,298.2,101.325,797.957695652174,17.96,0.034578947368421056,0.03
1155,2-methyl-1-propanol,CC(CO)C,68989-27-5,303.2,101.325,794.9887692307692,17.23,0.047,0.03
1156,2-methyl-1-propanol,CC(CO)C,68989-27-5,308.2,101.325,791.3269999999999,16.53,0.04033333333333333,0.03
1250,2-propanol,CC(C)O,8013-70-5,288.2,101.325,789.4555714285715,21.22,0.023,0.03
1251,2-propanol,CC(C)O,8013-70-5,293.2,101.325,785.3058461538462,20.31,0.12771785714285716,0.03
1253,2-propanol,CC(C)O,8013-70-5,298.0,101.325,780.88,12.4,0.01,0.6572
1254,2-propanol,CC(C)O,8013-70-5,298.2,101.325,781.18117,19.43,0.46289285714285716,0.03
1255,2-propanol,CC(C)O,8013-70-5,300.2,101.325,779.2,18.562,,
1256,2-propanol,CC(C)O,8013-70-5,303.2,101.325,776.758,18.59,0.1583333333333333,0.03
1257,2-propanol,CC(C)O,8013-70-5,308.2,101.325,772.15448,17.79,0.15327777777777774,0.03
1581,"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,303.2,101.325,932.7093636363636,38.03666666666667,0.015499999999999996,0.13989
1583,"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,313.2,101.325,922.6295454545456,36.551,0.023181818181818182,0.182755
1585,"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,323.2,101.325,912.9737142857142,34.678,0.012500000000000002,0.17339
1594,"N,N-dimethylformamide",CN(C=O)C,68-12-2,303.2,101.325,939.4622499999998,36.55,0.067625,0.10965
1630,N-methylacetamide,CNC(C)=O,79-16-3,303.2,101.325,950.9,178.47,0.021333333333333333,0.89235
1632,N-methylacetamide,CNC(C)=O,79-16-3,313.2,101.325,942.9666666666667,163.788,0.021333333333333333,0.81894
1640,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,293.2,101.325,1041.0102,22.9,0.08875,0.458
1642,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,298.2,101.325,1037.564285714286,22.4,0.0575,0.448
1644,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,303.2,101.325,1033.6573,21.82,0.1435714285714286,0.3272
1646,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,308.2,101.325,1029.9992,21.314999999999998,0.06666666666666667,0.31965
1649,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,313.2,101.325,1026.0595454545455,20.814999999999998,0.13843750000000002,0.31215
1650,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,318.2,101.325,1022.4053333333333,20.310000000000002,0.06666666666666667,0.3046
1652,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,323.2,101.325,1018.3738999999999,19.795,0.14382000000000003,0.29695
1654,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,328.2,101.325,1015.3225,19.29,0.1,0.2894
1704,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,278.2,101.325,973.52,7.681,,
1705,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,280.6,101.325,970.515,7.603,,
1706,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,283.2,101.325,967.49,7.51,,
1707,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,285.6,101.325,964.457,7.437,,
1708,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,288.2,101.325,960.4390000000001,7.372,,
1709,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,290.6,101.325,958.368,7.271,,
1710,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,293.2,101.325,954.4114999999999,7.17,,
1711,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,295.6,101.325,952.248,7.098,,
1712,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,298.2,101.325,948.777,7.021,,
1713,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,300.6,101.325,946.095,6.949,,
1714,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,303.2,101.325,942.6716666666666,6.84,,
1715,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,305.6,101.325,939.907,6.739,,
1716,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,308.2,101.325,936.719,6.651,,
1717,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,310.6,101.325,933.679,6.57,,
1718,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,313.2,101.325,930.7526666666666,6.479,,
1719,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,315.6,101.325,927.406,6.399,,
1720,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,318.2,101.325,924.0070000000001,6.308,,
1721,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,320.6,101.325,921.091,6.215,,
1722,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,323.2,101.325,917.914,6.113,,
1723,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,325.6,101.325,914.727,6.021,,
1724,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,328.2,101.325,911.529,5.933,,
1812,bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,293.2,101.325,1116.8775,31.81,1.68806,0.02
1813,bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,298.2,101.325,1113.1075,30.95,0.687412,0.02
1814,bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,303.2,101.325,1109.5525,30.03,0.13707142857142857,0.02
2033,cyclohexanone,C1(CCCCC1)=O,11119-77-0,288.2,101.325,952.1893333333334,16.4,0.15,0.01
2035,cyclohexanone,C1(CCCCC1)=O,11119-77-0,293.2,101.325,947.7782500000001,16.08,0.125,0.01
2037,cyclohexanone,C1(CCCCC1)=O,11119-77-0,298.2,101.325,942.3128,15.77,0.18143,0.01
2039,cyclohexanone,C1(CCCCC1)=O,11119-77-0,303.2,101.325,937.7697272727273,15.46,0.06666666666666667,0.01
2041,cyclohexanone,C1(CCCCC1)=O,11119-77-0,308.2,101.325,933.7616666666667,15.17,0.2489,0.01
2043,cyclohexanone,C1(CCCCC1)=O,11119-77-0,313.2,101.325,928.963,14.89,0.08666666666666667,0.01
2095,cyclopentanone,C1(CCCC1)=O,120-92-3,273.2,101.325,969.1,14.45,0.9691,0.02
2097,cyclopentanone,C1(CCCC1)=O,120-92-3,278.2,101.325,964.3,14.25,0.9643,0.02
2099,cyclopentanone,C1(CCCC1)=O,120-92-3,283.2,101.325,959.5,14.06,0.9595,0.02
2101,cyclopentanone,C1(CCCC1)=O,120-92-3,288.2,101.325,954.345,13.86,0.52735,0.02
2103,cyclopentanone,C1(CCCC1)=O,120-92-3,293.2,101.325,949.9,13.67,0.9499,0.02
2105,cyclopentanone,C1(CCCC1)=O,120-92-3,298.2,101.325,944.5428333333334,13.49,0.349,0.02
2107,cyclopentanone,C1(CCCC1)=O,120-92-3,303.2,101.325,938.95,13.3,,
2109,cyclopentanone,C1(CCCC1)=O,120-92-3,308.2,101.325,934.4966666666668,13.13,0.1,0.02
2111,cyclopentanone,C1(CCCC1)=O,120-92-3,313.2,101.325,929.45,12.95,,
2129,dibutyl ether,C(CCC)OCCCC,142-96-1,288.2,101.325,772.465,3.186,0.02,0.09558
2130,dibutyl ether,C(CCC)OCCCC,142-96-1,293.2,101.325,768.4352,3.145,0.013333333333333334,0.09435
2131,dibutyl ether,C(CCC)OCCCC,142-96-1,298.2,101.325,764.0378461538462,3.106,0.010833333333333334,0.09318
2132,dibutyl ether,C(CCC)OCCCC,142-96-1,303.2,101.325,759.6876,3.068,0.013333333333333334,0.09204
2133,dibutyl ether,C(CCC)OCCCC,142-96-1,308.2,101.325,755.38,3.031,,
2155,diethanolamine,N(CCO)CCO,61791-44-4,303.2,101.325,1090.2126666666666,24.69,0.31154600000000005,0.2469
2156,diethanolamine,N(CCO)CCO,61791-44-4,308.2,101.325,1087.2386666666669,24.3,0.08913,0.243
2158,diethanolamine,N(CCO)CCO,61791-44-4,313.2,101.325,1083.8711428571428,23.86,0.2764666666666667,0.2386
2159,diethanolamine,N(CCO)CCO,61791-44-4,318.2,101.325,1080.6746666666668,23.28,0.08870333333333334,0.2328
2161,diethanolamine,N(CCO)CCO,61791-44-4,323.2,101.325,1077.183142857143,22.63,0.2750783333333333,0.2263
2162,diethanolamine,N(CCO)CCO,61791-44-4,328.2,101.325,1074.4,22.13,0.21488,0.2213
2164,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,288.2,101.325,980.3299999999999,2.841,0.0225,0.02841
2166,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,298.2,101.325,969.1657142857144,2.834,4.20875,0.02834
2168,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,308.2,101.325,957.8914285714285,2.836,0.021249999999999998,0.02836
2170,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,318.2,101.325,947.665,2.837,0.01,0.02837
2172,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,328.2,101.325,935.14,2.839,0.01,0.02839
2205,diisopropanolamine,C(C(O)C)NCC(O)C,110-97-4,313.2,101.325,992.46,13.62,,
2208,diisopropanolamine,C(C(O)C)NCC(O)C,110-97-4,323.2,101.325,984.48375,13.36,0.2,0.1336
2217,dimethyl carbonate,C(OC)(OC)=O,616-38-6,288.2,101.325,1076.2940000000003,3.131,0.006666683333333333,0.03131
2219,dimethyl carbonate,C(OC)(OC)=O,616-38-6,298.2,101.325,1063.7465555555555,3.134,3.8738461576923076,0.03134
2221,dimethyl carbonate,C(OC)(OC)=O,616-38-6,308.2,101.325,1050.0238749999999,3.141,0.02333334166666667,0.03141
2223,dimethyl carbonate,C(OC)(OC)=O,616-38-6,318.2,101.325,1036.7217500000002,3.147,0.008333333333333333,0.03147
2225,dimethyl carbonate,C(OC)(OC)=O,616-38-6,328.2,101.325,1022.8686666666666,3.149,0.008333333333333333,0.03149
2288,ethanol,C(C)O,121182-78-3,288.2,101.325,793.8256296296296,25.92,0.08364705882352944,0.03
2292,ethanol,C(C)O,121182-78-3,293.2,101.325,789.6069516129033,25.12,0.11824157826086948,0.03
2294,ethanol,C(C)O,121182-78-3,298.0,101.325,785.1,22.8,0.07851,1.2084
2295,ethanol,C(C)O,121182-78-3,298.2,101.325,785.6997598039219,24.35,0.3377379958677686,0.03
2299,ethanol,C(C)O,121182-78-3,303.2,101.325,781.2996451612905,23.735,0.13851891224489787,0.050804999999999996
2301,ethanol,C(C)O,121182-78-3,308.2,101.325,776.8358793103447,22.87,0.21534638809523804,0.03
2323,"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,293.2,101.325,913.31,11.76,0.02,0.02
2324,"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,298.2,101.325,908.19,11.5,0.02,0.02
2325,"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,303.2,101.325,903.11,11.19,0.02,0.02
2493,ethylene glycol,C(CO)O,37221-95-7,303.2,101.325,1106.1345789473683,39.84,0.14090000000000003,0.11952
2524,formamide,C(=O)N,23296-41-5,303.2,101.325,1124.874,106.14,0.2575,0.31842
2569,glycerol,OCC(O)CO,8043-29-6,303.2,101.325,1255.00825,41.17,0.13333333333333333,0.12351
2579,heptane,CCCCCCC,142-82-5,288.2,101.325,688.1446153846155,1.94,0.037,0.0194
