,components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency
84,.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,293.2,101.325,1128.745,42.575
85,.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,298.2,101.325,1123.835,41.64
86,.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,303.2,101.325,1120.695,41.1
88,.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,313.2,101.325,1113.6466666666668,39.92
124,"1,2,3-propanetriol",C(C(CO)O)O,8043-29-6,303.2,101.325,1254.7665000000002,41.17
208,"1,2-dimethoxyethane",COCCOC,173201-80-4,288.2,101.325,872.2249999999999,7.408
210,"1,2-dimethoxyethane",COCCOC,173201-80-4,298.2,101.325,861.9644444444446,7.069
212,"1,2-dimethoxyethane",COCCOC,173201-80-4,308.2,101.325,851.184,6.757
215,"1,2-dimethoxyethane",COCCOC,173201-80-4,318.2,101.325,839.9975000000001,6.456
216,"1,2-dimethoxyethane",COCCOC,173201-80-4,328.2,101.325,827.53,6.184
336,"1,2-ethanediol",C(CO)O,37221-95-7,303.2,101.325,1106.194,39.84
367,"1,2-propanediol",C(C(C)O)O,57-55-6,303.2,101.325,1029.1544,27.87
368,"1,2-propanediol",C(C(C)O)O,57-55-6,308.2,101.325,1025.4788,27.13
369,"1,2-propanediol",C(C(C)O)O,57-55-6,313.2,101.325,1021.3771428571428,26.43
371,"1,2-propanediol",C(C(C)O)O,57-55-6,318.2,101.325,1017.5965000000001,25.76
372,"1,2-propanediol",C(C(C)O)O,57-55-6,323.2,101.325,1013.8100000000001,25.08
373,"1,2-propanediol",C(C(C)O)O,57-55-6,328.2,101.325,1009.7945,24.57
514,"1,4-dioxane",O1CCOCC1,28347-88-8,298.2,101.325,1027.787606060606,2.228
516,"1,4-dioxane",O1CCOCC1,28347-88-8,308.2,101.325,1016.7156153846154,2.21
518,"1,4-dioxane",O1CCOCC1,28347-88-8,318.2,101.325,1005.0178,2.187
618,1-butanol,C(CCC)O,107569-51-7,288.2,101.325,813.3710666666665,19.01
620,1-butanol,C(CCC)O,107569-51-7,293.2,101.325,809.4768214285715,18.270000000000003
621,1-butanol,C(CCC)O,107569-51-7,298.0,101.325,805.5666666666666,17.8
622,1-butanol,C(CCC)O,107569-51-7,298.2,101.325,805.7144444444447,17.56
624,1-butanol,C(CCC)O,107569-51-7,303.2,101.325,802.2832749999998,16.9
625,1-butanol,C(CCC)O,107569-51-7,308.2,101.325,798.0883548387098,16.26
626,1-butanol,C(CCC)O,107569-51-7,313.2,101.325,794.2448333333333,15.45
711,"1-hexanol, 2-ethyl-",C(C)C(CO)CCCC,704-76-7,298.2,101.325,830.62,7.353
712,"1-hexanol, 2-ethyl-",C(C)C(CO)CCCC,704-76-7,308.2,101.325,823.1,6.361
713,"1-hexanol, 2-ethyl-",C(C)C(CO)CCCC,704-76-7,318.2,101.325,814.91,5.522
832,1-propanol,C(CC)O,71-23-8,288.2,101.325,807.986,21.87
834,1-propanol,C(CC)O,71-23-8,293.2,101.325,803.7454814814815,21.15
835,1-propanol,C(CC)O,71-23-8,298.0,101.325,799.3333333333334,21.3
836,1-propanol,C(CC)O,71-23-8,298.2,101.325,799.829572815534,20.45
838,1-propanol,C(CC)O,71-23-8,303.2,101.325,796.1817352941176,19.78
839,1-propanol,C(CC)O,71-23-8,308.2,101.325,792.1725185185185,19.13
933,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,288.2,101.325,948.982,7.6690000000000005
943,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,298.2,101.325,939.088888888889,7.381500000000001
953,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,308.2,101.325,929.2333333333335,7.118
963,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,318.2,101.325,919.198,6.886
973,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,328.2,101.325,908.94,6.637
1018,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,303.2,101.325,927.7310000000001,20.59
1019,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,308.2,101.325,923.5356666666667,20.11
1020,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,313.2,101.325,918.79225,19.69
1021,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,318.2,101.325,915.09,19.27
1022,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,323.2,101.325,910.4209999999999,18.88
1029,2-aminoethanol,NCCO,9007-33-4,303.2,101.325,1008.605,31.46
1081,2-dimethylaminoethanol,CN(CCO)C,108-01-0,303.2,101.325,879.315,17.18
1215,2-methyl-1-propanol,CC(CO)C,68989-27-5,288.2,101.325,805.687,19.51
1216,2-methyl-1-propanol,CC(CO)C,68989-27-5,293.2,101.325,801.7955555555556,18.71
1218,2-methyl-1-propanol,CC(CO)C,68989-27-5,298.2,101.325,797.9622142857145,17.96
1219,2-methyl-1-propanol,CC(CO)C,68989-27-5,303.2,101.325,795.164,17.23
1220,2-methyl-1-propanol,CC(CO)C,68989-27-5,308.2,101.325,791.4778749999999,16.53
1322,2-propanol,CC(C)O,8013-70-5,288.2,101.325,789.4555714285715,21.22
1323,2-propanol,CC(C)O,8013-70-5,293.2,101.325,785.2637142857143,20.31
1324,2-propanol,CC(C)O,8013-70-5,298.0,101.325,780.88,12.4
1325,2-propanol,CC(C)O,8013-70-5,298.2,101.325,781.1739787234043,19.43
1326,2-propanol,CC(C)O,8013-70-5,300.2,101.325,779.2,18.562
1327,2-propanol,CC(C)O,8013-70-5,303.2,101.325,776.7363870967744,18.59
1328,2-propanol,CC(C)O,8013-70-5,308.2,101.325,772.1282727272727,17.79
1810,"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,303.2,101.325,933.024125,38.03666666666667
1812,"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,313.2,101.325,922.571875,36.551
1814,"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,323.2,101.325,912.956,34.678
1827,"N,N-dimethylformamide",CN(C=O)C,68-12-2,303.2,101.325,939.4556296296296,36.55
1876,N-methylacetamide,CNC(C)=O,79-16-3,303.2,101.325,950.9,178.47
1878,N-methylacetamide,CNC(C)=O,79-16-3,313.2,101.325,942.9666666666667,163.788
1890,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,293.2,101.325,1041.24775,22.9
1892,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,298.2,101.325,1037.4735,22.4
1894,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,303.2,101.325,1033.795875,21.82
1896,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,308.2,101.325,1029.9992,21.314999999999998
1899,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,313.2,101.325,1026.1193333333333,20.814999999999998
1900,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,318.2,101.325,1022.4053333333333,20.310000000000002
1902,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,323.2,101.325,1018.38075,19.795
