,components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency
4,(2-hydroxyethyl)dimethylamine,OCCN(C)C,108-01-0,303.2,101.325,878.687,17.18
49,.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,293.2,101.325,1128.8916666666667,42.575
50,.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,298.2,101.325,1124.1122500000001,41.64
51,.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,303.2,101.325,1120.2549999999999,41.1
53,.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,313.2,101.325,1112.6262500000003,39.92
196,"1,2-dimethoxyethane",COCCOC,173201-80-4,288.2,101.325,872.1825000000001,7.409000000000001
206,"1,2-dimethoxyethane",COCCOC,173201-80-4,298.2,101.325,861.830909090909,7.0695
216,"1,2-dimethoxyethane",COCCOC,173201-80-4,308.2,101.325,850.8885714285715,6.7535
227,"1,2-dimethoxyethane",COCCOC,173201-80-4,318.2,101.325,839.8060000000002,6.456
237,"1,2-dimethoxyethane",COCCOC,173201-80-4,328.2,101.325,827.5799999999999,6.184
362,"1,2-propanediol",C(C(C)O)O,57-55-6,303.2,101.325,1029.05025,27.87
363,"1,2-propanediol",C(C(C)O)O,57-55-6,308.2,101.325,1025.3489375,27.13
364,"1,2-propanediol",C(C(C)O)O,57-55-6,313.2,101.325,1021.3655384615384,26.43
366,"1,2-propanediol",C(C(C)O)O,57-55-6,318.2,101.325,1017.564888888889,25.76
367,"1,2-propanediol",C(C(C)O)O,57-55-6,323.2,101.325,1013.7945714285714,25.08
368,"1,2-propanediol",C(C(C)O)O,57-55-6,328.2,101.325,1009.7945,24.57
479,"1,4-dioxane",O1CCOCC1,28347-88-8,298.2,101.325,1027.8008857142859,2.228
481,"1,4-dioxane",O1CCOCC1,28347-88-8,308.2,101.325,1016.7037857142857,2.21
483,"1,4-dioxane",O1CCOCC1,28347-88-8,318.2,101.325,1005.0178,2.187
681,1-butanol,C(CCC)O,107569-51-7,288.2,101.325,813.3871499999999,19.01
683,1-butanol,C(CCC)O,107569-51-7,293.2,101.325,809.5695217391306,18.270000000000003
684,1-butanol,C(CCC)O,107569-51-7,298.0,101.325,805.5666666666666,17.8
685,1-butanol,C(CCC)O,107569-51-7,298.2,101.325,805.7491932773113,17.56
687,1-butanol,C(CCC)O,107569-51-7,303.2,101.325,802.2212727272725,16.9
688,1-butanol,C(CCC)O,107569-51-7,308.2,101.325,798.0934186046513,16.26
689,1-butanol,C(CCC)O,107569-51-7,313.2,101.325,794.2568717948719,15.45
822,1-pentanol,C(CCCC)O,71-41-0,288.2,101.325,818.540090909091,16.334
825,1-pentanol,C(CCCC)O,71-41-0,293.2,101.325,814.638064516129,15.7375
828,1-pentanol,C(CCCC)O,71-41-0,298.2,101.325,811.0341929824563,15.151
833,1-pentanol,C(CCCC)O,71-41-0,303.2,101.325,807.459375,14.572
838,1-pentanol,C(CCCC)O,71-41-0,308.2,101.325,803.5091666666667,13.998
913,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,288.2,101.325,948.982,7.6690000000000005
923,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,298.2,101.325,939.088888888889,7.381500000000001
933,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,308.2,101.325,929.2333333333335,7.118
943,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,318.2,101.325,919.198,6.886
953,"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,328.2,101.325,908.94,6.637
988,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,303.2,101.325,927.7310000000001,20.59
989,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,308.2,101.325,923.5356666666667,20.11
990,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,313.2,101.325,918.79225,19.69
991,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,318.2,101.325,915.09,19.27
992,2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,323.2,101.325,910.4209999999999,18.88
999,2-aminoethanol,NCCO,9007-33-4,303.2,101.325,1008.55875,31.46
1070,2-ethyl-1-hexanol,C(C)C(CO)CCCC,704-76-7,298.2,101.325,829.8109999999999,7.353
1072,2-ethyl-1-hexanol,C(C)C(CO)CCCC,704-76-7,308.2,101.325,822.12,6.361
1074,2-ethyl-1-hexanol,C(C)C(CO)CCCC,704-76-7,318.2,101.325,814.51,5.522
1143,2-methyl-1-propanol,CC(CO)C,68989-27-5,288.2,101.325,805.66525,19.51
1144,2-methyl-1-propanol,CC(CO)C,68989-27-5,293.2,101.325,801.7869230769231,18.71
1146,2-methyl-1-propanol,CC(CO)C,68989-27-5,298.2,101.325,797.957695652174,17.96
1147,2-methyl-1-propanol,CC(CO)C,68989-27-5,303.2,101.325,794.9887692307692,17.23
1148,2-methyl-1-propanol,CC(CO)C,68989-27-5,308.2,101.325,791.3269999999999,16.53
1242,2-propanol,CC(C)O,8013-70-5,288.2,101.325,789.4555714285715,21.22
1243,2-propanol,CC(C)O,8013-70-5,293.2,101.325,785.3058461538462,20.31
1245,2-propanol,CC(C)O,8013-70-5,298.0,101.325,780.88,12.4
1246,2-propanol,CC(C)O,8013-70-5,298.2,101.325,781.18117,19.43
1247,2-propanol,CC(C)O,8013-70-5,300.2,101.325,779.2,18.562
1248,2-propanol,CC(C)O,8013-70-5,303.2,101.325,776.758,18.59
1249,2-propanol,CC(C)O,8013-70-5,308.2,101.325,772.15448,17.79
1567,"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,303.2,101.325,932.7093636363636,38.03666666666667
1569,"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,313.2,101.325,922.6295454545456,36.551
1571,"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,323.2,101.325,912.9737142857142,34.678
1580,"N,N-dimethylformamide",CN(C=O)C,68-12-2,303.2,101.325,939.4622499999998,36.55
1616,N-methylacetamide,CNC(C)=O,79-16-3,303.2,101.325,950.9,178.47
1618,N-methylacetamide,CNC(C)=O,79-16-3,313.2,101.325,942.9666666666667,163.788
1626,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,293.2,101.325,1041.0102,22.9
1628,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,298.2,101.325,1037.564285714286,22.4
1630,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,303.2,101.325,1033.6573,21.82
1632,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,308.2,101.325,1029.9992,21.314999999999998
1635,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,313.2,101.325,1026.0595454545455,20.814999999999998
1636,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,318.2,101.325,1022.4053333333333,20.310000000000002
1638,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,323.2,101.325,1018.3738999999999,19.795
1640,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,328.2,101.325,1015.3225,19.29
1690,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,278.2,101.325,973.52,7.681
1691,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,280.6,101.325,970.515,7.603
1692,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,283.2,101.325,967.49,7.51
1693,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,285.6,101.325,964.457,7.437
1694,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,288.2,101.325,960.4390000000001,7.372
1695,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,290.6,101.325,958.368,7.271
1696,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,293.2,101.325,954.4114999999999,7.17
1697,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,295.6,101.325,952.248,7.098
1698,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,298.2,101.325,948.777,7.021
1699,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,300.6,101.325,946.095,6.949
1700,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,303.2,101.325,942.6716666666666,6.84
