,cas,density,expt,gaff,opls,temperature
0,75-09-2,1316.1,9.0,10.0,4.0,298.15
1,76-01-7,1682.2,4.0,3.0,2.0,293.15
2,79-34-5,1586.4,8.0,3.0,4.0,298.15
3,79-00-5,1432.8,7.0,6.0,6.0,298.15
4,75-05-8,777.0,36.0,24.0,20.0,298.15
5,75-34-3,1168.1,10.0,10.0,3.0,298.15
6,107-06-2,1245.6,10.0,20.0,13.0,298.15
7,74-96-4,1450.1,9.0,8.0,9.0,298.15
8,75-00-3,906.2,10.0,10.0,7.0,285.45
9,540-63-6,1118.9,7.0,11.0,7.0,298.15
10,624-92-0,1057.0,10.0,9.0,18.0,298.15
11,75-18-3,850.0,6.0,7.0,10.0,298.15
12,115-10-6,737.9,7.0,8.0,9.0,240.0
13,107-13-1,738.8,25.0,18.0,9.0,350.45
14,74-99-7,708.6,4.0,2.0,2.0,220.0
15,142-28-9,1181.0,10.0,8.0,7.0,298.15
16,646-06-0,,7.0,3.0,3.0,298.15
17,67-64-1,784.4,20.0,12.0,15.0,298.15
18,79-20-9,927.5,7.0,5.0,5.0,298.15
19,106-94-5,1345.4,8.0,7.0,8.0,298.15
20,75-30-9,1737.2,8.0,8.0,3.0,298.15
21,79-46-9,982.8,26.0,16.0,15.0,298.15
22,109-87-5,853.6,3.0,4.0,4.0,298.15
23,107-10-8,711.5,5.0,6.0,6.0,298.15
24,110-00-9,935.0,3.0,2.0,2.0,298.15
25,109-97-7,965.0,8.0,4.0,4.0,298.15
26,108-24-7,1083.0,22.0,12.0,9.0,293.15
27,110-56-5,1134.1,10.0,9.0,8.0,298.15
28,141-78-6,894.4,6.0,4.0,4.0,298.15
29,109-65-9,1267.8,7.0,6.0,6.0,298.15
30,109-69-3,880.5,7.0,6.0,5.0,298.15
31,110-91-8,1000.6,7.0,6.0,4.0,293.15
32,123-75-1,860.0,8.0,5.0,5.0,298.15
33,109-79-5,837.0,5.0,6.0,4.0,298.15
34,352-93-2,832.0,6.0,6.0,8.0,298.15
35,75-28-5,613.5,2.0,1.0,1.0,243.65
36,109-89-7,699.7,4.0,4.0,5.0,298.15
37,109-73-9,738.9,5.0,5.0,5.0,298.15
38,75-64-9,690.1,4.0,3.0,4.0,298.15
39,120-92-3,945.0,14.0,8.0,9.0,298.15
40,105-37-3,884.0,6.0,3.0,4.0,298.15
41,71-41-0,794.7,12.0,11.0,7.0,320.0
42,95-51-2,1218.2,13.0,5.0,8.0,293.15
43,108-98-5,1073.0,4.0,3.0,2.0,298.15
44,108-99-6,952.0,12.0,6.0,7.0,298.15
45,108-94-1,942.0,16.0,8.0,8.0,298.15
46,4050-45-7,677.7,2.0,1.0,1.0,293.15
47,108-91-8,863.0,5.0,4.0,4.0,298.15
48,111-96-6,939.3,7.0,8.0,6.0,298.15
49,121-44-8,723.0,2.0,1.0,3.0,298.15
50,95-48-7,1034.5,6.0,4.0,4.0,308.15
51,108-39-4,1012.4,10.0,5.0,7.0,320.0
52,106-44-5,1012.9,11.0,4.0,8.0,320.0
53,100-66-3,990.0,4.0,3.0,2.0,298.15
54,108-88-3,862.2,2.0,1.0,1.0,298.15
55,100-51-6,1041.7,13.0,6.0,8.0,297.15
56,105-53-3,1055.3,8.0,4.0,5.0,293.15
57,110-43-0,811.8,12.0,7.0,9.0,298.15
58,93-58-3,1085.0,7.0,4.0,3.0,298.15
59,119-36-8,1155.6,9.0,7.0,7.0,320.0
60,100-42-5,901.4,2.0,1.0,1.0,298.15
61,100-41-4,862.5,2.0,1.0,1.0,298.15
62,95-47-6,875.8,3.0,1.0,1.0,298.15
63,108-75-8,913.0,8.0,4.0,4.0,298.15
64,111-92-2,756.3,3.0,2.0,3.0,298.15
65,119-65-3,1078.4,10.0,4.0,2.0,320.0
66,91-22-5,1090.0,9.0,4.0,4.0,298.15
67,95-63-6,872.0,2.0,1.0,1.0,298.15
68,108-83-8,802.4,10.0,4.0,9.0,298.15
