iupac	alternative	cas	csid	formula
dichloro(fluoro)methane  	dichlorofluoromethane  	75-43-4	6130	CHCl2F 
chloroform  	trichloromethane  	67-66-3	5977	CHCl3 
dibromomethane  		74-95-3	2916	CH2Br2 
dichloromethane  		75-09-2	6104	CH2Cl2 
methanal  	formaldehyde  	50-00-0	692	CH2O 
methanoic acid  	formic-acid  	64-18-6	278	CH2O2 
bromomethane  		74-83-9	6083	CH3Br 
methanamide  	formamide  	75-12-7	693	CH3NO 
nitromethane  		75-52-5	6135	CH3NO2 
methanol  		67-56-1	864	CH4O 
1,1,1,2,2-pentachloroethane  	pentachloroethane  	76-01-7	6179	C2HCl5 
1,1,2,2-tetrachloroethane  	1122-tetrachloroethane  	79-34-5	6342	C2H2Cl4 
1,1-dichloroethene  	11-dichloroethene  	75-35-4	13835316	C2H2Cl2 
1,1,2-trichloroethane  	112-trichloroethane  	79-00-5	6326	C2H3Cl3 
acetonitrile  		75-05-8	6102	C2H3N 
1,1-dichloroethane  	11-dichloroethane  	75-34-3	6125	C2H4Cl2 
1,2-dibromoethane  	12-dibromoethane  	106-93-4	7551	C2H4Br2 
1,2-dichloroethane  	12-dichloroethane  	107-06-2	13837650	C2H4Cl2 
methyl formate  	methyl-formate  	107-31-3	7577	C2H4O2 
2-chloroethanol  		107-07-3	21106015	C2H5ClO 
ethanamide  	acetamide  	60-35-5	173	C2H5NO 
bromoethane  		74-96-4	6092	C2H5Br 
chloroethane  		75-00-3	6097	C2H5Cl 
nitroethane  		79-24-3	6338	C2H5NO2 
N-methylformamide  		123-39-7	28994	C2H5NO 
1,2-ethanedithiol  	12-ethanedithiol  	540-63-6	13865015	C2H6S2 
methyldisulfanylmethane  	dimethyl-disulfide  	624-92-0	11731	C2H6S2 
methylsulfanylmethane  	dimethyl-sulfide  	75-18-3	1039	C2H6S 
methylsulfinylmethane  	dimethyl-sulfoxide  	67-68-5	659	C2H6OS 
ethanol  		64-17-5	682	C2H6O 
methoxymethane  	dimethylether  	115-10-6	7956	C2H6O 
2-aminoethanol  		141-43-5	13835336	C2H7NO 
1,2-diaminoethane  	12-ethanediamine  	107-15-3	13835550	C2H8N2 
prop-2-enenitrile  	2-propenenitrile  	107-13-1	7567	C3H3N 
1,3-dioxolan-2-one  	ethylene-carbonate  	96-49-1	7030	C3H4O3 
prop-1-yne  	propyne  	74-99-7	6095	C3H4 
propanenitrile  		107-12-0	7566	C3H5N 
1,2-dibromopropane  	12-dibromopropane  	78-75-1	6305	C3H6Br2 
1,3-dichloropropane  	13-dichloropropane  	142-28-9	8543	C3H6Cl2 
1,3-dioxolane  	13-dioxolane  	646-06-0	12066	C3H6O2 
propan-2-one  	acetone  	67-64-1	175	C3H6O 
methyl acetate  	methyl-acetate  	79-20-9	6335	C3H6O2 
(2R)-2-methyloxirane  	methyloxirane  	15448-47-2	129014	C3H6O 
1-bromopropane  		106-94-5	7552	C3H7Br 
2-iodopropane  		75-30-9	6122	C3H7I 
2-nitropropane  		79-46-9	387	C3H7NO2 
N-methylacetamide  		79-16-3	6334	C3H7NO 
N,N-dimethylformamide  	NN-dimethylformamide  	68-12-2	5993	C3H7NO 
1-nitropropane  		108-03-2	7615	C3H7NO2 
propane-1,2,3-triol  	123-propanetriol  	56-81-5	733	C3H8O3 
dimethoxymethane  		109-87-5	13837190	C3H8O2 
propan-1-amine  	propylamine  	107-10-8	7564	C3H9N 
propan-2-amine  	isopropylamine  	75-31-0	6123	C3H9N 
furan  		110-00-9	7738	C4H4O 
pyrimidine  		289-95-2	8903	C4H4N2 
thiophene  		110-02-1	7739	C4H4S 
1H-pyrrole  	pyrrole  	109-97-7	7736	C4H5N 
acetyl acetate  	acetic-anhydride  	108-24-7	7630	C4H6O3 
ethenyl acetate  	vinyl-acetate  	108-05-4	7616	C4H6O2 
oxolan-2-one  	gamma-butyrolactone  	96-48-0	7029	C4H6O2 
1,4-dichlorobutane  	14-dichlorobutane  	110-56-5	21106032	C4H8Cl2 
ethyl acetate  	ethyl-acetate  	141-78-6	8525	C4H8O2 
ethoxyethene  	ethyl-vinyl-ether  	109-92-2	7732	C4H8O 
tetrahydrothiophene 1,1-dioxide  	sulfolane  	126-33-0	29080	C4H8O2S 
oxolane  	tetrahydrofuran  	109-99-9	7737	C4H8O 
thiolane  	tetrahydrothiophene  	110-01-0	1095	C4H8S 
1-bromobutane  		109-65-9	7711	C4H9Br 
